payment_id,customer_id,payment_method,date,amount
219,249,ATM,2019-09-11 21:41:21,159.71
221,728,bank card online,2020-04-27 16:28:47,16.58
223,807,online wallet,2021-11-04 10:04:39,60.52
224,728,bank card online,2021-11-22 07:26:26,74.72
225,541,internet banking,2019-03-21 06:20:52,50.72
227,165,auto payment from a bank card,2020-11-09 22:16:09,48.04
228,811,internet banking,2021-05-17 11:44:20,25.51
229,563,payment in stores,2021-09-21 13:26:05,64.62
230,834,online wallet,2019-05-06 05:31:44,50.36
231,801,online wallet,2020-12-09 03:35:38,48.54
232,780,online wallet,2021-06-22 16:00:59,115.52
233,375,internet banking,2021-05-15 05:17:07,48.48
235,940,internet banking,2019-01-19 08:12:40,64.88
237,430,payment in stores,2019-10-05 20:32:48,54.97
238,974,auto payment from a bank card,2021-03-25 08:49:59,72.13
240,579,auto payment from a bank card,2019-10-03 00:00:36,190.04
241,666,bank card online,2020-06-27 12:58:27,41.39
242,408,online wallet,2020-12-10 20:41:13,125.55
243,102,online wallet,2021-12-26 10:43:16,48.59
244,77,internet banking,2020-05-02 07:50:26,19.02
246,331,bank card online,2021-04-15 09:23:58,152.48
247,144,bank card online,2020-10-31 15:08:35,18.9
248,767,bank card online,2021-12-29 02:39:01,78.01
249,616,bank card online,2019-03-19 04:31:04,60.12
250,705,internet banking,2020-07-26 23:14:34,56.65
252,253,internet banking,2019-09-06 05:03:38,27.86
254,193,bank card online,2019-06-24 00:12:54,29.09
255,293,ATM,2019-07-22 07:42:07,78.86
256,503,internet banking,2020-11-29 01:27:17,31.95
257,74,internet banking,2019-05-08 10:21:39,29.06
258,251,bank card online,2019-01-11 12:50:27,57.27
259,351,bank card online,2019-05-10 22:45:30,57.87
260,557,internet banking,2019-02-09 16:57:26,59.07
261,51,internet banking,2019-12-08 10:56:29,87.26
262,981,internet banking,2020-09-02 19:35:59,101.77
263,778,bank card online,2021-04-15 19:38:48,76.21
264,527,ATM,2019-08-17 18:26:44,16.6
265,958,internet banking,2020-02-11 06:47:12,12.21
267,387,online wallet,2020-12-07 01:11:01,33.8
268,861,auto payment from a bank card,2019-01-04 01:43:59,55.67
269,582,online wallet,2021-08-12 09:43:56,23.45
270,708,internet banking,2021-01-13 23:03:46,30.92
272,936,internet banking,2020-12-20 03:08:04,33.29
273,920,auto payment from a bank card,2021-08-01 19:25:31,54.11
274,412,bank card online,2020-12-14 14:34:47,48.16
275,190,internet banking,2020-11-12 17:29:37,95.59
276,881,bank card online,2021-01-26 10:23:33,58.92
277,827,bank card online,2019-10-26 11:57:10,78.47
278,793,bank card online,2021-12-15 09:20:17,117.72
279,867,bank card online,2019-08-09 14:45:55,34.24
280,365,internet banking,2019-10-27 06:42:14,31.95
282,880,auto payment from a bank card,2020-10-14 16:25:24,45.99
285,37,bank card online,2019-04-24 19:12:07,51.18
286,264,internet banking,2021-09-06 05:16:49,69.89
287,958,internet banking,2020-02-18 18:28:05,129.38
288,563,internet banking,2019-10-17 21:24:48,130.77
290,891,bank card online,2021-09-10 22:18:47,75.4
292,218,internet banking,2021-05-04 23:11:39,77.57
293,784,online wallet,2020-10-11 07:43:49,64.66
294,569,online wallet,2021-05-09 12:16:34,73.97
296,705,bank card online,2019-11-05 09:10:55,39.75
297,464,internet banking,2019-11-22 02:53:05,11.29
298,218,internet banking,2019-07-21 23:15:13,80.7
300,130,auto payment from a bank card,2020-02-26 09:35:28,37.73
301,976,bank card online,2021-10-07 11:31:52,100.12
302,199,payment in stores,2020-10-06 05:17:42,65.81
304,211,sms payments,2021-08-20 12:17:14,39.67
306,463,online wallet,2019-08-07 21:39:54,12.52
307,483,internet banking,2020-09-25 02:32:42,37.16
308,906,internet banking,2019-02-21 00:14:14,82.67
309,253,internet banking,2020-05-22 03:38:19,87.21
310,921,online wallet,2019-08-28 17:49:09,60.61
311,315,sms payments,2019-07-27 12:11:33,22.27
312,991,ATM,2020-02-25 01:27:38,30.65
313,975,bank card online,2021-05-29 18:58:20,23.45
314,739,auto payment from a bank card,2019-08-16 09:03:24,11.77
315,420,ATM,2019-05-15 14:14:17,57.36
317,522,auto payment from a bank card,2020-02-22 03:52:13,26.18
318,91,online wallet,2021-11-14 09:06:06,80.48
319,775,bank card online,2020-08-15 21:44:11,167.59
321,912,auto payment from a bank card,2021-08-06 15:00:30,60.98
322,50,bank card online,2019-10-13 09:44:29,25.66
323,965,internet banking,2020-09-02 07:28:56,81.46
324,974,payment in stores,2021-08-19 14:29:01,17.88
325,228,internet banking,2019-02-05 20:50:35,75.92
326,242,internet banking,2020-06-06 13:41:34,120.48
327,505,ATM,2020-12-29 08:08:53,84.08
328,276,internet banking,2020-07-14 11:35:18,30.92
329,771,bank card online,2021-10-30 17:24:35,64.7
330,664,auto payment from a bank card,2019-12-17 02:43:42,144.81
332,923,bank card online,2021-06-21 21:22:40,18.66
333,353,bank card online,2020-03-26 08:47:36,76.95
334,293,internet banking,2021-11-15 17:38:25,12.92
335,70,bank card online,2021-04-23 00:25:45,20.86
336,787,online wallet,2019-04-09 06:43:00,99.27
337,921,bank card online,2021-12-15 19:34:42,16.3
338,986,auto payment from a bank card,2020-08-23 02:30:50,85.29
339,235,internet banking,2019-02-17 22:37:31,61.47
340,227,internet banking,2021-08-16 08:49:26,31.77
341,150,online wallet,2021-04-26 08:12:34,34.26
342,555,online wallet,2021-02-09 09:51:15,12.9
343,466,online wallet,2021-01-03 10:58:29,70.87
344,818,ATM,2019-05-21 18:28:13,55.75
345,499,auto payment from a bank card,2019-08-10 03:03:27,78.28
347,633,bank card online,2020-04-23 15:45:01,72.69
348,982,internet banking,2021-02-28 03:07:37,38.87
349,569,internet banking,2020-05-24 11:46:48,174.45
350,863,internet banking,2021-09-14 21:46:42,24.57
351,760,internet banking,2021-08-15 18:22:54,119.44
352,76,online wallet,2021-02-14 00:48:02,95.53
353,703,auto payment from a bank card,2021-02-01 22:37:50,62.44
354,838,bank card online,2021-12-24 18:55:08,38.94
356,374,auto payment from a bank card,2020-04-02 10:31:37,87.21
357,173,internet banking,2020-01-04 11:22:32,25.66
358,601,bank card online,2021-08-09 17:19:17,49.45
359,264,online wallet,2021-04-02 02:50:16,17.0
360,298,auto payment from a bank card,2021-09-28 16:01:53,141.46
362,889,online wallet,2021-04-05 13:08:07,44.28
363,744,internet banking,2021-08-23 01:39:53,105.43
364,801,bank card online,2019-06-11 11:55:23,48.16
365,545,internet banking,2021-11-17 16:29:08,59.09
366,180,internet banking,2020-03-28 18:45:45,21.68
367,18,bank card online,2021-01-27 23:59:04,74.1
368,764,internet banking,2021-01-15 11:34:39,49.71
370,593,online wallet,2021-12-17 19:44:44,24.57
371,964,bank card online,2019-10-04 07:23:45,28.22
372,973,online wallet,2021-10-04 21:34:17,21.77
373,374,auto payment from a bank card,2020-09-18 00:27:04,97.47
374,688,ATM,2020-04-30 07:03:15,14.39
375,980,online wallet,2020-05-30 20:12:57,73.6
377,910,internet banking,2020-01-14 02:57:00,93.56
378,151,internet banking,2019-10-19 20:38:40,48.27
379,620,online wallet,2020-04-17 13:03:09,25.61
380,189,bank card online,2019-01-23 22:43:28,60.14
381,147,internet banking,2020-02-17 03:19:42,174.17
382,943,internet banking,2021-08-15 02:03:05,85.11
383,479,bank card online,2019-05-23 00:23:44,22.72
384,970,online wallet,2019-02-16 11:25:12,99.55
386,753,online wallet,2020-02-08 11:25:37,58.43
387,824,auto payment from a bank card,2020-01-16 19:22:45,111.57
388,921,internet banking,2021-03-10 10:04:44,46.05
389,246,auto payment from a bank card,2021-12-22 05:24:32,34.51
390,763,bank card online,2019-05-02 02:37:37,73.49
391,516,sms payments,2021-09-25 06:32:04,68.43
393,636,payment in stores,2020-12-28 12:14:58,28.87
394,734,internet banking,2019-08-31 15:30:19,43.07
395,389,auto payment from a bank card,2020-12-02 19:29:36,78.97
396,314,bank card online,2021-09-29 22:16:37,33.95
397,323,internet banking,2020-02-29 02:13:45,46.16
398,585,internet banking,2019-07-29 03:00:34,13.37
399,343,auto payment from a bank card,2019-04-28 16:50:50,75.95
400,893,internet banking,2021-06-15 06:19:38,51.62
401,721,online wallet,2021-10-12 08:42:12,58.21
402,991,payment in stores,2021-03-12 23:24:12,101.39
403,344,ATM,2021-04-26 18:45:53,56.87
404,397,bank card online,2019-06-23 19:40:25,34.62
405,324,online wallet,2021-07-05 06:02:25,32.16
406,91,online wallet,2021-11-04 21:37:22,36.56
407,595,internet banking,2021-12-27 06:04:34,119.56
408,121,internet banking,2021-02-21 01:37:20,50.99
409,880,auto payment from a bank card,2020-08-06 06:54:51,20.75
410,896,internet banking,2021-08-08 16:48:13,16.34
411,350,internet banking,2021-01-06 03:56:02,83.8
412,193,internet banking,2019-05-10 19:06:18,105.42
413,857,ATM,2021-02-11 03:30:54,37.42
414,286,ATM,2021-10-02 23:03:56,39.46
415,644,internet banking,2021-07-16 18:35:06,28.33
416,71,ATM,2021-11-06 11:27:10,137.04
417,505,online wallet,2019-12-03 00:39:11,61.0
418,356,internet banking,2020-03-16 23:58:35,65.8
419,751,bank card online,2021-06-26 01:41:37,40.18
421,956,bank card online,2021-09-18 00:21:11,32.21
422,563,bank card online,2021-02-27 07:39:56,49.73
423,482,online wallet,2019-01-31 10:58:27,33.04
425,489,auto payment from a bank card,2019-09-14 05:08:52,23.38
426,319,online wallet,2021-01-29 05:52:21,42.88
427,185,ATM,2020-10-07 14:25:37,20.45
428,162,payment in stores,2021-06-30 07:56:30,47.73
429,762,internet banking,2020-03-15 08:53:30,94.35
432,446,online wallet,2020-04-25 20:18:56,35.95
434,971,payment in stores,2019-03-28 22:38:08,96.39
435,571,bank card online,2020-09-19 05:16:36,21.29
437,298,online wallet,2021-09-08 14:15:56,47.18
438,363,bank card online,2020-12-20 05:08:39,35.17
439,120,internet banking,2020-12-20 15:29:29,84.61
441,140,online wallet,2020-01-05 07:01:35,31.35
442,784,internet banking,2020-01-02 23:57:17,39.97
443,881,auto payment from a bank card,2020-08-22 23:11:58,25.07
444,237,online wallet,2020-10-26 07:00:54,32.29
445,689,auto payment from a bank card,2020-04-26 22:25:20,121.57
446,331,sms payments,2019-07-26 08:18:08,63.55
447,814,payment in stores,2020-01-08 03:06:12,21.18
448,944,auto payment from a bank card,2021-03-24 21:58:54,28.17
449,860,auto payment from a bank card,2021-05-10 18:11:14,71.78
450,341,internet banking,2019-02-04 04:12:00,60.89
451,705,online wallet,2020-02-18 07:28:38,33.71
452,964,internet banking,2021-03-19 18:31:40,108.06
454,754,internet banking,2019-09-07 08:19:55,75.94
455,5,bank card online,2020-08-25 07:55:14,149.99
456,333,bank card online,2021-03-17 17:28:46,133.91
457,13,internet banking,2021-04-29 06:29:06,39.6
458,221,online wallet,2020-12-25 23:09:49,19.25
459,924,online wallet,2021-12-19 13:58:48,35.38
460,824,online wallet,2021-07-27 04:05:13,96.38
461,499,internet banking,2019-09-25 08:31:09,31.74
462,607,online wallet,2020-05-21 13:33:39,47.0
464,36,internet banking,2021-11-07 04:56:33,59.52
465,511,internet banking,2021-01-10 21:49:40,50.17
466,545,bank card online,2021-08-28 20:30:51,51.47
467,396,online wallet,2019-07-27 12:54:51,62.57
468,890,auto payment from a bank card,2019-04-05 00:57:04,50.16
470,163,online wallet,2021-08-30 00:01:37,65.06
471,62,auto payment from a bank card,2020-11-23 13:39:25,58.07
472,171,auto payment from a bank card,2019-11-25 05:16:27,29.84
473,846,bank card online,2020-09-02 02:52:14,57.34
474,232,bank card online,2020-02-03 08:09:35,71.07
475,560,bank card online,2021-01-18 12:21:44,84.41
476,174,internet banking,2021-05-26 00:49:13,145.69
477,967,auto payment from a bank card,2021-04-23 21:55:26,17.39
478,834,bank card online,2021-11-14 01:33:50,56.75
480,298,auto payment from a bank card,2021-07-16 15:44:33,171.09
481,374,auto payment from a bank card,2019-10-07 10:02:59,29.53
482,252,ATM,2021-10-24 11:36:14,17.21
483,232,internet banking,2020-11-19 12:33:36,20.45
484,185,online wallet,2020-01-18 08:54:27,84.48
485,116,ATM,2021-01-22 22:20:51,45.07
486,226,sms payments,2021-04-26 19:28:14,31.39
488,85,online wallet,2021-11-03 01:57:41,51.7
489,786,bank card online,2019-12-24 07:53:41,31.91
490,487,bank card online,2019-06-29 10:52:31,51.86
491,998,auto payment from a bank card,2021-06-09 12:04:52,27.91
492,728,internet banking,2020-01-06 22:07:07,47.26
493,842,ATM,2019-01-20 21:43:11,48.94
494,235,online wallet,2019-10-20 06:09:23,63.94
495,207,payment in stores,2019-11-18 05:06:03,38.21
497,144,online wallet,2020-06-22 20:37:16,127.36
498,217,bank card online,2021-08-13 02:34:02,149.04
499,904,internet banking,2020-05-30 21:07:10,41.74
500,468,online wallet,2019-02-10 23:37:05,63.08
501,74,internet banking,2019-02-19 00:58:46,94.22
502,92,auto payment from a bank card,2021-11-30 16:49:31,90.27
503,556,internet banking,2019-06-15 15:51:56,29.56
504,913,internet banking,2020-02-01 15:28:58,49.49
505,59,bank card online,2021-10-30 20:51:46,37.39
506,401,bank card online,2019-02-20 23:48:10,62.49
507,786,sms payments,2020-05-10 16:03:56,33.95
508,339,online wallet,2019-03-03 11:23:25,124.69
511,838,online wallet,2020-01-31 07:06:01,126.43
512,979,payment in stores,2019-08-18 10:56:38,37.21
513,447,internet banking,2019-02-09 01:57:04,58.72
515,31,internet banking,2021-12-15 02:12:04,72.57
516,536,bank card online,2019-10-21 04:02:09,94.67
518,172,auto payment from a bank card,2020-03-28 19:27:15,57.45
519,811,auto payment from a bank card,2021-09-11 17:30:24,55.53
520,443,bank card online,2021-04-20 00:01:01,40.18
521,282,payment in stores,2021-06-16 07:26:59,97.46
522,874,payment in stores,2019-02-06 09:08:42,69.45
523,871,internet banking,2020-12-08 04:47:20,50.16
526,557,bank card online,2021-09-18 08:13:53,118.72
527,531,bank card online,2021-03-11 18:32:34,249.21
528,492,auto payment from a bank card,2020-02-11 07:34:32,28.29
529,187,bank card online,2021-08-01 02:48:49,34.0
530,606,internet banking,2021-12-28 14:44:08,33.75
531,106,auto payment from a bank card,2021-05-25 15:31:00,80.84
532,771,internet banking,2021-09-24 15:03:19,85.72
533,970,auto payment from a bank card,2019-01-15 09:31:11,74.04
534,38,ATM,2020-01-19 05:12:10,54.61
536,410,internet banking,2021-02-02 12:09:55,32.88
537,560,bank card online,2021-06-16 16:58:35,49.43
538,240,online wallet,2019-03-25 12:45:49,24.08
539,374,internet banking,2020-06-10 06:26:58,75.0
541,718,bank card online,2020-12-14 02:05:10,18.32
542,723,internet banking,2019-05-26 22:05:19,38.25
543,125,internet banking,2019-06-11 22:49:47,81.66
545,340,online wallet,2021-06-19 07:58:20,54.06
546,176,auto payment from a bank card,2019-08-23 14:34:03,32.82
547,472,bank card online,2021-01-08 17:47:56,28.04
549,748,internet banking,2021-03-11 11:12:29,40.33
550,555,bank card online,2019-06-29 23:29:12,63.45
551,541,bank card online,2021-07-14 09:05:34,18.36
552,857,bank card online,2020-12-18 14:52:49,29.45
553,473,auto payment from a bank card,2019-11-30 08:14:08,59.78
554,652,bank card online,2021-04-21 11:26:23,96.91
555,721,internet banking,2021-12-26 13:05:40,56.38
559,105,bank card online,2020-06-20 06:55:48,78.05
560,266,internet banking,2021-07-02 18:42:42,54.22
561,136,internet banking,2020-08-24 11:45:46,79.25
562,470,internet banking,2021-12-10 12:56:57,21.86
563,538,auto payment from a bank card,2020-04-06 00:04:30,48.36
564,153,internet banking,2019-01-18 04:31:23,109.89
565,642,online wallet,2021-11-19 12:05:43,136.35
566,361,bank card online,2019-08-13 23:08:37,36.73
567,368,online wallet,2019-10-20 00:32:12,79.62
568,196,auto payment from a bank card,2021-12-20 06:06:25,25.6
569,545,auto payment from a bank card,2019-07-02 09:59:00,77.8
570,17,internet banking,2019-02-10 21:12:23,115.4
571,620,internet banking,2021-03-22 12:49:36,201.02
572,373,online wallet,2020-04-09 14:25:19,33.13
573,209,auto payment from a bank card,2020-06-09 10:35:32,148.88
574,171,auto payment from a bank card,2021-05-01 21:29:45,108.76
575,290,online wallet,2019-04-27 13:50:46,14.13
576,152,bank card online,2020-03-11 04:34:40,82.88
577,513,internet banking,2019-12-10 13:28:45,76.63
578,122,auto payment from a bank card,2021-11-29 14:28:41,51.27
579,522,internet banking,2020-11-16 17:21:17,101.98
580,190,online wallet,2020-11-25 10:55:41,39.91
581,377,online wallet,2021-01-01 17:08:28,35.02
583,448,online wallet,2019-09-04 00:58:53,35.17
584,296,internet banking,2021-10-01 21:02:13,23.18
585,741,internet banking,2019-09-09 00:56:50,85.97
587,15,internet banking,2020-12-17 05:17:52,65.92
588,390,bank card online,2021-07-30 12:15:34,86.16
589,807,internet banking,2021-08-21 22:05:26,82.08
590,884,online wallet,2021-08-07 03:55:09,58.36
591,580,sms payments,2021-05-26 17:55:23,33.16
592,472,online wallet,2021-10-13 07:40:40,35.7
593,195,auto payment from a bank card,2020-04-30 05:30:06,42.6
594,729,bank card online,2020-02-03 19:32:42,21.92
595,287,internet banking,2019-08-23 16:50:10,51.94
597,705,sms payments,2019-03-15 20:10:36,96.66
600,794,internet banking,2020-10-20 05:44:54,26.41
601,479,payment in stores,2020-10-25 05:59:49,68.4
602,399,bank card online,2019-03-05 10:16:30,59.3
603,366,bank card online,2021-12-25 07:21:24,20.43
605,401,bank card online,2020-11-30 12:26:31,33.85
607,708,sms payments,2021-07-28 11:30:30,10.39
608,153,internet banking,2020-06-15 14:17:26,57.27
609,854,bank card online,2019-02-14 01:51:23,26.67
610,174,internet banking,2021-11-20 16:24:42,101.08
611,508,payment in stores,2021-08-01 08:18:34,41.13
613,41,internet banking,2021-09-01 06:02:04,23.76
614,358,bank card online,2021-12-10 09:53:20,27.27
618,899,internet banking,2021-09-26 18:52:47,46.48
620,213,bank card online,2020-01-23 22:47:22,44.21
621,844,bank card online,2019-03-12 04:38:39,30.12
623,268,online wallet,2020-12-09 02:31:50,84.87
